Cidade,Uf,Estado,Regiao
Alta Floresta D'Oeste,RO,Rondônia,Norte
Ariquemes,RO,Rondônia,Norte
Cabixi,RO,Rondônia,Norte
Cacoal,RO,Rondônia,Norte
Cerejeiras,RO,Rondônia,Norte
Colorado do Oeste,RO,Rondônia,Norte
Corumbiara,RO,Rondônia,Norte
Costa Marques,RO,Rondônia,Norte
Espigão D'Oeste,RO,Rondônia,Norte
Guajará-Mirim,RO,Rondônia,Norte
Jaru,RO,Rondônia,Norte
Ji-Paraná,RO,Rondônia,Norte
Machadinho D'Oeste,RO,Rondônia,Norte
Nova Brasilândia D'Oeste,RO,Rondônia,Norte
Ouro Preto do Oeste,RO,Rondônia,Norte
Pimenta Bueno,RO,Rondônia,Norte
Porto Velho,RO,Rondônia,Norte
Presidente Médici,RO,Rondônia,Norte
Rio Crespo,RO,Rondônia,Norte
Rolim de Moura,RO,Rondônia,Norte
Santa Luzia D'Oeste,RO,Rondônia,Norte
Vilhena,RO,Rondônia,Norte
São Miguel do Guaporé,RO,Rondônia,Norte
Nova Mamoré,RO,Rondônia,Norte
Alvorada D'Oeste,RO,Rondônia,Norte
Alto Alegre dos Parecis,RO,Rondônia,Norte
Alto Paraíso,RO,Rondônia,Norte
Buritis,RO,Rondônia,Norte
Novo Horizonte do Oeste,RO,Rondônia,Norte
Cacaulândia,RO,Rondônia,Norte
Campo Novo de Rondônia,RO,Rondônia,Norte
Candeias do Jamari,RO,Rondônia,Norte
Castanheiras,RO,Rondônia,Norte
Chupinguaia,RO,Rondônia,Norte
Cujubim,RO,Rondônia,Norte
Governador Jorge Teixeira,RO,Rondônia,Norte
Itapuã do Oeste,RO,Rondônia,Norte
Ministro Andreazza,RO,Rondônia,Norte
Mirante da Serra,RO,Rondônia,Norte
Monte Negro,RO,Rondônia,Norte
Nova União,RO,Rondônia,Norte
Parecis,RO,Rondônia,Norte
Pimenteiras do Oeste,RO,Rondônia,Norte
Primavera de Rondônia,RO,Rondônia,Norte
São Felipe D'Oeste,RO,Rondônia,Norte
São Francisco do Guaporé,RO,Rondônia,Norte
Seringueiras,RO,Rondônia,Norte
Teixeirópolis,RO,Rondônia,Norte
Theobroma,RO,Rondônia,Norte
Urupá,RO,Rondônia,Norte
Vale do Anari,RO,Rondônia,Norte
Vale do Paraíso,RO,Rondônia,Norte
Acrelândia,AC,Acre,Norte
Assis Brasil,AC,Acre,Norte
Brasiléia,AC,Acre,Norte
Bujari,AC,Acre,Norte
Capixaba,AC,Acre,Norte
Cruzeiro do Sul,AC,Acre,Norte
Epitaciolândia,AC,Acre,Norte
Feijó,AC,Acre,Norte
Jordão,AC,Acre,Norte
Mâncio Lima,AC,Acre,Norte
Manoel Urbano,AC,Acre,Norte
Marechal Thaumaturgo,AC,Acre,Norte
Plácido de Castro,AC,Acre,Norte
Porto Walter,AC,Acre,Norte
Rio Branco,AC,Acre,Norte
Rodrigues Alves,AC,Acre,Norte
Santa Rosa do Purus,AC,Acre,Norte
Senador Guiomard,AC,Acre,Norte
Sena Madureira,AC,Acre,Norte
Tarauacá,AC,Acre,Norte
Xapuri,AC,Acre,Norte
Porto Acre,AC,Acre,Norte
Alvarães,AM,Amazonas,Norte
Amaturá,AM,Amazonas,Norte
Anamã,AM,Amazonas,Norte
Anori,AM,Amazonas,Norte
Apuí,AM,Amazonas,Norte
Atalaia do Norte,AM,Amazonas,Norte
Autazes,AM,Amazonas,Norte
Barcelos,AM,Amazonas,Norte
Barreirinha,AM,Amazonas,Norte
Benjamin Constant,AM,Amazonas,Norte
Beruri,AM,Amazonas,Norte
Boa Vista do Ramos,AM,Amazonas,Norte
Boca do Acre,AM,Amazonas,Norte
Borba,AM,Amazonas,Norte
Caapiranga,AM,Amazonas,Norte
Canutama,AM,Amazonas,Norte
Carauari,AM,Amazonas,Norte
Careiro,AM,Amazonas,Norte
Careiro da Várzea,AM,Amazonas,Norte
Coari,AM,Amazonas,Norte
Codajás,AM,Amazonas,Norte
Eirunepé,AM,Amazonas,Norte
Envira,AM,Amazonas,Norte
Fonte Boa,AM,Amazonas,Norte
Guajará,AM,Amazonas,Norte
Humaitá,AM,Amazonas,Norte
Ipixuna,AM,Amazonas,Norte
Iranduba,AM,Amazonas,Norte
Itacoatiara,AM,Amazonas,Norte
Itamarati,AM,Amazonas,Norte
Itapiranga,AM,Amazonas,Norte
Japurá,AM,Amazonas,Norte
Juruá,AM,Amazonas,Norte
Jutaí,AM,Amazonas,Norte
Lábrea,AM,Amazonas,Norte
Manacapuru,AM,Amazonas,Norte
Manaquiri,AM,Amazonas,Norte
Manaus,AM,Amazonas,Norte
Manicoré,AM,Amazonas,Norte
Maraã,AM,Amazonas,Norte
Maués,AM,Amazonas,Norte
Nhamundá,AM,Amazonas,Norte
Nova Olinda do Norte,AM,Amazonas,Norte
Novo Airão,AM,Amazonas,Norte
Novo Aripuanã,AM,Amazonas,Norte
Parintins,AM,Amazonas,Norte
Pauini,AM,Amazonas,Norte
Presidente Figueiredo,AM,Amazonas,Norte
Rio Preto da Eva,AM,Amazonas,Norte
Santa Isabel do Rio Negro,AM,Amazonas,Norte
Santo Antônio do Içá,AM,Amazonas,Norte
São Gabriel da Cachoeira,AM,Amazonas,Norte
São Paulo de Olivença,AM,Amazonas,Norte
São Sebastião do Uatumã,AM,Amazonas,Norte
Silves,AM,Amazonas,Norte
Tabatinga,AM,Amazonas,Norte
Tapauá,AM,Amazonas,Norte
Tefé,AM,Amazonas,Norte
Tonantins,AM,Amazonas,Norte
Uarini,AM,Amazonas,Norte
Urucará,AM,Amazonas,Norte
Urucurituba,AM,Amazonas,Norte
Amajari,RR,Roraima,Norte
Alto Alegre,RR,Roraima,Norte
Boa Vista,RR,Roraima,Norte
Bonfim,RR,Roraima,Norte
Cantá,RR,Roraima,Norte
Caracaraí,RR,Roraima,Norte
Caroebe,RR,Roraima,Norte
Iracema,RR,Roraima,Norte
Mucajaí,RR,Roraima,Norte
Normandia,RR,Roraima,Norte
Pacaraima,RR,Roraima,Norte
Rorainópolis,RR,Roraima,Norte
São João da Baliza,RR,Roraima,Norte
São Luiz,RR,Roraima,Norte
Uiramutã,RR,Roraima,Norte
Abaetetuba,PA,Pará,Norte
Abel Figueiredo,PA,Pará,Norte
Acará,PA,Pará,Norte
Afuá,PA,Pará,Norte
Água Azul do Norte,PA,Pará,Norte
Alenquer,PA,Pará,Norte
Almeirim,PA,Pará,Norte
Altamira,PA,Pará,Norte
Anajás,PA,Pará,Norte
Ananindeua,PA,Pará,Norte
Anapu,PA,Pará,Norte
Augusto Corrêa,PA,Pará,Norte
Aurora do Pará,PA,Pará,Norte
Aveiro,PA,Pará,Norte
Bagre,PA,Pará,Norte
Baião,PA,Pará,Norte
Bannach,PA,Pará,Norte
Barcarena,PA,Pará,Norte
Belém,PA,Pará,Norte
Belterra,PA,Pará,Norte
Benevides,PA,Pará,Norte
Bom Jesus do Tocantins,PA,Pará,Norte
Bonito,PA,Pará,Norte
Bragança,PA,Pará,Norte
Brasil Novo,PA,Pará,Norte
Brejo Grande do Araguaia,PA,Pará,Norte
Breu Branco,PA,Pará,Norte
Breves,PA,Pará,Norte
Bujaru,PA,Pará,Norte
Cachoeira do Piriá,PA,Pará,Norte
Cachoeira do Arari,PA,Pará,Norte
Cametá,PA,Pará,Norte
Canaã dos Carajás,PA,Pará,Norte
Capanema,PA,Pará,Norte
Capitão Poço,PA,Pará,Norte
Castanhal,PA,Pará,Norte
Chaves,PA,Pará,Norte
Colares,PA,Pará,Norte
Conceição do Araguaia,PA,Pará,Norte
Concórdia do Pará,PA,Pará,Norte
Cumaru do Norte,PA,Pará,Norte
Curionópolis,PA,Pará,Norte
Curralinho,PA,Pará,Norte
Curuá,PA,Pará,Norte
Curuçá,PA,Pará,Norte
Dom Eliseu,PA,Pará,Norte
Eldorado dos Carajás,PA,Pará,Norte
Faro,PA,Pará,Norte
Floresta do Araguaia,PA,Pará,Norte
Garrafão do Norte,PA,Pará,Norte
Goianésia do Pará,PA,Pará,Norte
Gurupá,PA,Pará,Norte
Igarapé-Açu,PA,Pará,Norte
Igarapé-Miri,PA,Pará,Norte
Inhangapi,PA,Pará,Norte
Ipixuna do Pará,PA,Pará,Norte
Irituia,PA,Pará,Norte
Itaituba,PA,Pará,Norte
Itupiranga,PA,Pará,Norte
Jacareacanga,PA,Pará,Norte
Jacundá,PA,Pará,Norte
Juruti,PA,Pará,Norte
